Datum,Tmax,Tmin,Neerslag,Max Windstoot,Opmerkingen
11/30/2021,10.7 °C,5.7 °C,"11,2 mm",38.6 km/u,
11/29/2021,7.7 °C,2.7 °C,"4,6 mm",32.2 km/u,
11/28/2021,5.4 °C,1.2 °C,"2,0 mm",30.6 km/u,
11/27/2021,4.3 °C,3.0 °C,"7,6 mm",27.4 km/u,
11/26/2021,6.1 °C,4.0 °C,"13,4 mm",40.2 km/u,
11/25/2021,10.2 °C,5.1 °C,"4,6 mm",32.2 km/u,
11/24/2021,8.8 °C,6.8 °C,"0,0 mm",17.7 km/u,
11/23/2021,11.9 °C,5.8 °C,"0,4 mm",17.7 km/u,
11/22/2021,10.3 °C,2.2 °C,"0,0 mm",16.1 km/u,
11/21/2021,10.9 °C,5.8 °C,"3,0 mm",25.7 km/u,
11/20/2021,11.5 °C,9.5 °C,"0,2 mm",24.1 km/u,
11/19/2021,14.3 °C,10.7 °C,"0,0 mm",25.7 km/u,
11/18/2021,12.9 °C,8.6 °C,"0,0 mm",37.0 km/u,
11/17/2021,12.1 °C,6.6 °C,"1,0 mm",27.4 km/u,
11/16/2021,6.6 °C,4.8 °C,"0,0 mm",16.1 km/u,
11/15/2021,8.9 °C,5.2 °C,"0,0 mm",11.3 km/u,
11/14/2021,10.8 °C,8.9 °C,"1,0 mm",16.1 km/u,
11/13/2021,14.1 °C,9.7 °C,"7,6 mm",29.0 km/u,
11/12/2021,9.7 °C,6.0 °C,"0,6 mm",25.7 km/u,
11/11/2021,12.0 °C,9.4 °C,"0,0 mm",11.3 km/u,
11/10/2021,11.9 °C,9.4 °C,"0,0 mm",16.1 km/u,
11/9/2021,10.7 °C,6.1 °C,"0,2 mm",22.5 km/u,
11/8/2021,12.5 °C,6.1 °C,"0,2 mm",16.1 km/u,
11/7/2021,12.9 °C,8.7 °C,"2,6 mm",37.0 km/u,
11/6/2021,12.9 °C,9.4 °C,"1,6 mm",37.0 km/u,
11/5/2021,12.2 °C,6.1 °C,"1,0 mm",22.5 km/u,
11/4/2021,12.6 °C,2.7 °C,"1,4 mm",14.5 km/u,
11/3/2021,11.7 °C,3.8 °C,"0,2 mm",9.7 km/u,
11/2/2021,9.1 °C,5.8 °C,"5,2 mm",16.1 km/u,
11/1/2021,13.4 °C,7.8 °C,"0,4 mm",41.8 km/u,
12/31/2021,14.2 °C,10.9 °C,"0,4 mm",53.1 km/u,
12/30/2021,13.6 °C,10.4 °C,"0,2 mm",46.7 km/u,
12/29/2021,12.3 °C,8.4 °C,"4,6 mm",30.6 km/u,
12/28/2021,10.2 °C,8.0 °C,"3,2 mm",35.4 km/u,
12/27/2021,8.6 °C,1.2 °C,"0,8 mm",19.3 km/u,
12/26/2021,1.6 °C,-4.2 °C,"0,2 mm",19.3 km/u,
12/25/2021,3.2 °C,-3.5 °C,"0,2 mm",29.0 km/u,
12/24/2021,9.9 °C,3.3 °C,"3,2 mm",30.6 km/u,
12/23/2021,8.9 °C,-0.5 °C,"3,2 mm",27.4 km/u,
12/22/2021,1.5 °C,-3.0 °C,"0,2 mm",11.3 km/u,
12/21/2021,6.1 °C,-1.8 °C,"0,2 mm",6.4 km/u,
12/20/2021,7.0 °C,0.8 °C,"0,0 mm",14.5 km/u,
12/19/2021,7.7 °C,6.3 °C,"0,4 mm",19.3 km/u,
12/18/2021,7.8 °C,4.9 °C,"0,4 mm",6.4 km/u,
12/17/2021,8.5 °C,7.4 °C,"0,8 mm",8.0 km/u,
12/16/2021,11.8 °C,6.4 °C,"0,2 mm",8.0 km/u,
12/15/2021,11.3 °C,8.5 °C,"0,0 mm",25.7 km/u,
12/14/2021,10.5 °C,8.2 °C,"1,4 mm",20.9 km/u,
12/13/2021,10.9 °C,9.2 °C,"0,0 mm",25.7 km/u,
12/12/2021,11.2 °C,5.3 °C,"7,8 mm",25.7 km/u,
12/11/2021,8.3 °C,1.9 °C,"1,8 mm",25.7 km/u,
12/10/2021,4.3 °C,2.1 °C,"0,4 mm",24.1 km/u,
12/9/2021,5.7 °C,2.0 °C,"0,4 mm",25.7 km/u,
12/8/2021,7.0 °C,3.5 °C,"1,4 mm",38.6 km/u,data tot 21:58u
12/7/2021,6.6 °C,1.4 °C,"4,4 mm",35.4 km/u,
12/6/2021,4.2 °C,1.3 °C,"7,0 mm",32.2 km/u,
12/5/2021,5.4 °C,3.6 °C,"2,0 mm",22.5 km/u,
12/4/2021,6.8 °C,4.6 °C,"4,4 mm",19.3 km/u,
12/3/2021,5.2 °C,2.6 °C,"0,2 mm",40.2 km/u,
